6BU8,176078,13058  
CLV8,820474,6859
ESU8,57287,288850
GCZ8,276142,12082
HGZ8,141431,26830
NQU8,47511,748575
SIZ8,59130,14244
ZCZ8,173904,35050
ZSX8,751091,83325
